"model"	"k"	"n"	"Intercept"	"RE.sd"	"Impervious"	"dense.urban"	"light.med.urb"	"grass.shrub.crops"	"conifer.deciduous"	"Apt.condo"	"Commercial"	"Industrial"	"Parks.open.space"	"Residential"	"FC00.Road"	"Nonlocal.Road"	"deviance"	"AICc"	"dAICc"	"wAICc"
"44"	"light.med.urb + Parks.open.space + Nonlocal.Road"	5	34	-0.97289547166759	0.540584647123483	NA	NA	0.134119674674020	NA	NA	NA	NA	NA	-5.81962573343321	NA	NA	64.9700100640651	79.343100036938	91.485957179795	15.2272144179825	4.60528738146094e-05
"56"	"grass.shrub.crops + Industrial + Nonlocal.Road"	5	34	-2.92778955768713	0.514108818668286	NA	NA	NA	-10.5783606823118	NA	NA	NA	2.99640073218307	NA	NA	NA	108.544574255888	79.5056362246961	91.6484933675533	15.3897506057407	4.24582853723354e-05
"6"	"Apt.condo + Nonlocal.Road"	4	34	-3.14511673824107	0.684507987401766	NA	NA	NA	NA	NA	-8.22438227715	NA	NA	NA	NA	NA	118.333603775513	82.4413230012467	91.8206333460743	15.5618905842617	3.89567510755370e-05
"16"	"Residential + FC00.Road"	4	34	-3.82386243824585	0.834830027539553	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.40290511447887	118.702168803342	NA	82.5259674277852	91.9052777726128	15.6465350108002	3.73424171946118e-05
"7"	"Commercial"	3	34	-2.59524014296162	1.02336722013436	NA	NA	NA	NA	NA	NA	27.5688849551731	NA	NA	NA	NA	NA	85.6001492253499	92.4001492253499	16.1414064635373	2.91569744347124e-05
"2"	"FC00.Road"	3	34	-4.2676795913268	1.10469706503961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.5891514853173	NA	85.6577544520435	92.4577544520435	16.1990116902309	2.83291562654175e-05
"27"	"dense.urban + Industrial"	4	34	-2.86806260984869	0.798659044434413	NA	18.5296526155808	NA	NA	NA	NA	NA	-14.8907605642321	NA	NA	NA	NA	83.3792272667178	92.7585376115453	16.4997948497328	2.43735846919121e-05
"46"	"grass.shrub.crops + FC00.Road"	4	34	-6.65426022961601	0.902956147795757	NA	NA	NA	23.2126013541541	NA	NA	NA	NA	NA	NA	87.2664980070001	NA	83.7337824218199	93.1130927666474	16.8543500048349	2.04140292684757e-05
"38"	"light.med.urb + Apt.condo + Nonlocal.Road"	5	34	-3.99505481285411	0.617200289009916	NA	NA	2.97136557523630	NA	NA	6.70445801845142	NA	NA	NA	NA	NA	86.0694069916588	80.971030546153	93.1138876890102	16.8551449271976	2.04059170965291e-05
"61"	"grass.shrub.crops + Residential + Nonlocal.Road"	5	34	-2.22485688018739	0.610424367486512	NA	NA	NA	-14.6388745072466	NA	NA	NA	NA	NA	-1.26870532414513	NA	116.115578556351	81.0193771415587	93.1622342844159	16.9034915226033	1.99185531172322e-05
"11"	"Industrial + FC00.Road"	4	34	-4.75062782405082	0.95965777269109	NA	NA	NA	NA	NA	NA	NA	5.10763172546359	NA	NA	68.7979919118208	NA	83.8311960894633	93.2105064342909	16.9517636724783	1.94435528071537e-05
"50"	"grass.shrub.crops + Apt.condo + Nonlocal.Road"	5	34	-2.71187033527172	0.615536204283316	NA	NA	NA	-10.1855151615958	NA	-3.23909568450659	NA	NA	NA	NA	NA	113.644541926818	81.1162984513246	93.2591555941817	17.0004128323691	1.8976302425637e-05
"26"	"dense.urban + Commercial + Nonlocal.Road"	5	34	-3.34721931843744	0.570723584541564	NA	2.01130132522012	NA	NA	NA	NA	4.79832772667282	NA	NA	NA	NA	82.5419730565303	81.2979011794445	93.4407583223017	17.1820155604891	1.73291420505595e-05
"29"	"dense.urban + Industrial + Nonlocal.Road"	5	34	-3.44919071722468	0.589432271905938	NA	0.933897041847751	NA	NA	NA	NA	NA	1.81100322690394	NA	NA	NA	103.631968398269	81.5261425197717	93.6689996626288	17.4102569008162	1.54601991659014e-05
"5"	"Apt.condo + FC00.Road"	4	34	-5.16023651203311	0.979396917682533	NA	NA	NA	NA	NA	25.0620546718849	NA	NA	NA	NA	62.8182399883843	NA	84.3290319094123	93.7083422542399	17.4495994924273	1.51590487355272e-05
"55"	"grass.shrub.crops + Industrial + FC00.Road"	5	34	-6.92349332914914	0.757238801132772	NA	NA	NA	21.6989630382879	NA	NA	NA	4.57682678796807	NA	NA	86.85624761952	NA	81.6099877991681	93.7528449420253	17.4941021802127	1.48254646398718e-05
"37"	"light.med.urb + Apt.condo"	4	34	-5.15041939193383	0.99346214540021	NA	NA	7.9233328948893	NA	NA	45.2069086999684	NA	NA	NA	NA	NA	NA	84.5264374571575	93.9057478019851	17.6470050401725	1.37342794328593e-05
"41"	"light.med.urb + Industrial"	4	34	-4.09828280533423	1.02877366632743	NA	NA	9.04043379550446	NA	NA	NA	NA	8.44948704165791	NA	NA	NA	NA	84.5517545883379	93.9310649331654	17.6723221713529	1.35615189129237e-05
"60"	"grass.shrub.crops + Residential + FC00.Road"	5	34	-5.11225553443498	0.780672731113582	NA	NA	NA	11.6531780933855	NA	NA	NA	NA	NA	-7.27828718760735	116.812734043689	NA	82.0111384476637	94.1539955905208	17.8952528287082	1.21310825153435e-05
"24"	"dense.urban + Commercial"	4	34	-2.68262045954879	0.989035068922062	NA	2.51026140269853	NA	NA	NA	NA	22.6039159736484	NA	NA	NA	NA	NA	85.2750958022937	94.6544061471213	18.3956633853087	9.44575735440746e-06
"35"	"light.med.urb"	3	34	-2.88234634728946	1.36080936161961	NA	NA	7.5205792424756	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.128640958096	94.928640958096	18.6698981962835	8.2354522322673e-06
"18"	"dense.urban"	3	34	-2.10099721784594	1.338865410081	NA	9.07640005409344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.297915978548	95.097915978548	18.8391732167354	7.56710654458603e-06
"49"	"grass.shrub.crops + Apt.condo + FC00.Road"	5	34	-6.67836230004904	0.857957034694318	NA	NA	NA	18.2412369776126	NA	15.4103037936248	NA	NA	NA	NA	79.8773774373736	NA	83.1740013356874	95.3168584785446	19.0581157167320	6.7824576246054e-06
"21"	"dense.urban + Apt.condo"	4	34	-0.750024160763573	1.18030121206325	NA	16.4285982262318	NA	NA	NA	-61.0539925495243	NA	NA	NA	NA	NA	NA	86.6776507554822	96.0569611003098	19.7982183384972	4.68463594843574e-06
"1"	"1"	2	34	-0.233633713034444	1.92642858441288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.3000522125664	96.68714898676	20.4284062249474	3.4184740376083e-06
"15"	"Residential"	3	34	-2.66450295900718	1.65730483265667	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.54407660420787	NA	NA	90.4695262259042	97.2695262259042	21.0107834640916	2.55488099199967e-06
"4"	"Apt.condo"	3	34	-1.98515396008725	1.74318745310878	NA	NA	NA	NA	NA	37.2839261858247	NA	NA	NA	NA	NA	NA	91.243450410768	98.043450410768	21.7847076489554	1.73506270102523e-06
"45"	"grass.shrub.crops"	3	34	0.728243689176787	1.84286294745757	NA	NA	NA	-18.5100937031898	NA	NA	NA	NA	NA	NA	NA	NA	91.6808457616182	98.4808457616182	22.2221029998057	1.39423499788464e-06
"10"	"Industrial"	3	34	-0.607592784844874	1.84629967558812	NA	NA	NA	NA	NA	NA	NA	4.71126467321763	NA	NA	NA	NA	91.788879030706	98.588879030706	22.3301362688934	1.32092102790285e-06
"48"	"grass.shrub.crops + Apt.condo"	4	34	-1.11568503959116	1.58653021269972	NA	NA	NA	-23.818288143554	NA	45.1336337500771	NA	NA	NA	NA	NA	NA	89.9836408382985	99.362951183126	23.1042084213135	8.9699334644604e-07
"59"	"grass.shrub.crops + Residential"	4	34	-3.98173957930395	1.63039665591448	NA	NA	NA	11.6684235760487	NA	NA	NA	NA	NA	8.45812737884547	NA	NA	90.3364712714579	99.7157816162855	23.4570388544729	7.51922475758277e-07
"54"	"grass.shrub.crops + Industrial"	4	34	0.395554523012316	1.74441981562658	NA	NA	NA	-20.1037820144864	NA	NA	NA	5.23213607908700	NA	NA	NA	NA	90.9923236210996	100.371633965927	24.1128912041146	5.41697134633403e-07
